,idx,pool_factor,pool_type,cross_idx,repeat_idx,loss,accuracy,consis_b,consis_ub,consis_n,consis_a,consis_a_s,robustness,with_augment,marker,blur_size
4,41,2,maxblur-5,4,0,1.3180919026267035,0.9726027250289916,0.9073169173772796,0.957610382471236,0.9479009700337668,0.9593734727092418,0.8667328647207924,0.9227540890375772,True,p,5
0,4,2,maxblur-6,0,3,0.9561619533074868,0.8175675868988037,0.9133025263977644,0.9326397487458888,0.9623731647541172,0.9271645417060104,0.8642318880414118,0.9181901415189108,True,h,6
1,20,2,maxblur-6,1,9,2.3630579477780818,0.8766233921051025,0.967910396481825,0.9725758947095552,0.9358207929636501,0.9796261060418896,1.0,0.878605842590332,True,h,6
2,26,2,maxblur-6,2,5,0.0511547932831418,0.993333339691162,0.9929544254397484,0.9947620113876272,1.0,0.99378407489478,0.9859088508794966,0.9991474946339926,True,h,6
3,38,2,maxblur-6,3,7,9.690658453732733e-06,1.0,0.9914523214322007,0.9944046882822394,1.0,0.9933886598117508,0.9829046428644016,1.0,True,h,6
4,41,2,maxblur-6,4,0,0.5965071965570311,0.965753436088562,0.9763748435780628,0.9919755912334762,0.9530342226519288,0.9990467860398442,0.9997154645041968,0.9455782373746237,True,h,6
0,8,2,maxblur-7,0,7,1.3303709660430212,0.9054054021835328,0.9561459263840216,0.9821158648681021,0.9290982386220484,0.9918787014146896,0.9831936141459948,0.9163430333137512,True,*,7
1,19,2,maxblur-7,1,8,1.8922540615131327,0.8766233921051025,0.9796990311276026,0.9898892578230408,0.9593980622552052,0.9957379526250552,1.0,0.8837209343910217,True,*,7
2,30,2,maxblur-7,2,9,0.2361560822868099,0.946666657924652,0.9516072099242354,0.9685294180368073,1.0,0.9626538362380526,0.9032144198484708,0.9838022192319236,True,*,7
3,35,2,maxblur-7,3,4,8.165019345572182e-10,1.0,0.9991899448639892,0.9994110198191832,1.0,0.9993040694538684,0.9983798897279782,1.0,True,*,7
4,44,2,maxblur-7,4,3,1.017572690945275,0.9726027250289916,0.9552669552669552,0.9834880298702192,0.9433600157946236,0.990774702502872,0.9671738947392872,0.9634288549423218,True,*,7
0,1,3,max,0,0,1.6483062787406813,0.8918918967247009,0.9619723310199499,0.9842048999716384,0.9266817838246408,0.9947973919475565,0.9972628782152592,0.9259259303410848,True,$M$,0
1,13,3,max,1,2,2.4247884781329665,0.8766233921051025,0.9750044664330378,0.9515820374189472,0.9500089328660756,0.9518837838165568,1.0,0.8175221482912699,True,$M$,0
2,29,3,max,2,8,1.588049223452496e-05,1.0,0.952146570541874,0.9710839926357168,0.9991867232571732,0.9658371912664936,0.9051064178265744,0.9889173110326132,True,$M$,0
3,38,3,max,3,7,0.06326172495745633,0.9863013625144958,0.9995819070265748,0.9994047730596896,0.99916381405315,0.999448527764202,1.0,0.99295774102211,True,$M$,0
4,42,3,max,4,1,0.6021928362650414,0.8219178318977356,0.9712590115004602,0.9841948060871992,0.9453285368778326,0.9912523639231714,0.9971894861230878,0.937923014163971,True,$M$,0
0,2,3,avg,0,1,0.8097274698115684,0.8716216087341309,0.9428611511944848,0.9230351738836776,0.9945658398039352,0.9098632865530928,0.8911564625850341,0.8506046533584595,True,$A$,-1
1,15,3,avg,1,4,1.2164397448688358,0.8961039185523987,0.9731849103277674,0.9873438775952572,0.9463698206555348,0.9952033514327998,1.0,0.9293800592422484,True,$A$,-1
2,24,3,avg,2,3,3.024110918659062e-06,1.0,0.9739807919847059,0.977292275321832,1.0,0.9730527257016112,0.9479615839694118,0.9940324028333029,True,$A$,-1
3,37,3,avg,3,6,3.5680897613081923e-07,1.0,0.9994367358552472,0.996564282278568,1.0,0.9959404051475664,0.998873471710494,1.0,True,$A$,-1
4,45,3,avg,4,4,0.3420884632696844,0.9589040875434875,0.9198277689223364,0.9651020318923844,0.8995241289003865,0.9770100398525682,0.9401314089442864,0.7391644318898519,True,$A$,-1
0,1,3,maxblur-3,0,0,1.1025238109601507,0.8986486196517944,0.9056695068599832,0.9479085828977836,0.9260633546347834,0.9519312336265204,0.8852756590851829,0.92142653465271,True,^,3
1,17,3,maxblur-3,1,6,0.5963713511244043,0.9090909361839294,0.9809853638425068,0.8983130773443465,0.9745317116745688,0.8836931346978842,0.9874390160104446,0.9417910774548848,True,^,3
2,22,3,maxblur-3,2,1,0.0027230955602863104,1.0,0.9464197468111364,0.9329102069249854,1.0,0.9203844910823356,0.8928394936222726,0.9377664128939309,True,^,3
3,34,3,maxblur-3,3,3,0.05442266975261777,0.9863013625144958,0.9928198338661116,0.9880231772625094,1.0,0.9858483577884384,0.985639667732223,0.9974424540996552,True,^,3
4,46,3,maxblur-3,4,5,0.8030958322629537,0.9246575236320496,0.9241480629810608,0.9676203683624832,0.9364672885799644,0.973277321468772,0.9118288373821574,0.9081371625264486,True,^,3
0,9,3,maxblur-4,0,8,0.9983837048246248,0.8986486196517944,0.9427695320552464,0.9695086359696048,0.9374298540965208,0.9754157262377942,0.948109210013972,0.9059076110521952,True,D,4
1,11,3,maxblur-4,1,0,1.9317727375340152,0.8701298832893372,0.9781680753109324,0.9717008926083114,0.9563361506218648,0.9746480937566068,1.0,0.8148853083451589,True,D,4
2,25,3,maxblur-4,2,4,0.04055122909092612,0.993333339691162,0.9517512276807776,0.9658468925710304,1.0,0.9594704812096116,0.9035024553615552,0.9829496939977009,True,D,4
3,36,3,maxblur-4,3,5,4.727865922249082e-06,1.0,0.9514170158033336,0.9603428935525408,1.0,0.9531417310007008,0.9028340316066674,0.9629155993461608,True,D,4
4,45,3,maxblur-4,4,4,0.8989360422304232,0.952054798603058,0.9728152464570976,0.9815720594941374,0.9534987704001788,0.9866697667209176,0.9921317225140164,0.9498234192530314,True,D,4
0,8,3,maxblur-5,0,7,1.0407994308987178,0.9189189076423644,0.9558138070042832,0.9741221444399476,0.9270997961474152,0.9827809911843526,0.9845278178611512,0.8554671605428059,True,p,5
1,14,3,maxblur-5,1,3,2.366700003673504,0.8636363744735718,0.9646918161203876,0.9722998576462708,0.9293836322407752,0.980531870192082,1.0,0.8562025427818298,True,p,5
2,27,3,maxblur-5,2,6,9.318947340943851e-06,1.0,1.0,0.9979776654653502,1.0,0.9976000940560676,1.0,0.9948717951774596,True,p,5
3,33,3,maxblur-5,3,2,0.039136764070350834,0.9794520735740662,0.9336103199282274,0.948539195292442,1.0,0.9391946501920926,0.8672206398564548,0.9578005075454712,True,p,5
4,48,3,maxblur-5,4,7,0.6193629667188411,0.9589040875434875,0.9287151480310434,0.9590266120878366,0.9484990752596386,0.9609382619978162,0.908931220802448,0.9166101217269896,True,p,5
0,2,3,maxblur-6,0,1,1.2081644959854767,0.912162184715271,0.9196385624957054,0.95980789069342,0.9213163379830048,0.9668958492487904,0.9179607870084059,0.8963247140248617,True,h,6
1,13,3,maxblur-6,1,2,2.1569915831863105,0.8571428656578064,0.9796440596440597,0.9749425586335456,0.9592881192881192,0.97794532832896,1.0,0.7924820184707642,True,h,6
2,25,3,maxblur-6,2,4,0.005606597154589205,0.993333339691162,0.9552838985324308,0.9626330155886804,1.0,0.9556565709287668,0.9105677970648616,0.9880647857983909,True,h,6
3,33,3,maxblur-6,3,2,0.0006813358208113616,1.0,1.0,0.9967543622460132,1.0,0.9961650009147268,1.0,0.9974424540996552,True,h,6
4,43,3,maxblur-6,4,2,0.42557597629828003,0.965753436088562,0.9254575069464406,0.9601010547207208,0.95411429616661,0.9611881643302908,0.8968007177262711,0.9021695653597512,True,h,6
0,10,3,maxblur-7,0,9,1.3123137556375128,0.8986486196517944,0.9438031104697772,0.9718372066412796,0.9005646029455553,0.9849615735622314,0.9870416179939993,0.8192826310793558,True,*,7
1,17,3,maxblur-7,1,6,1.4415359485459018,0.9090909361839294,0.9765629079914796,0.9693085713931822,0.9531258159829592,0.9724126804872146,1.0,0.878605842590332,True,*,7
2,26,3,maxblur-7,2,5,0.17336564580754688,0.9800000190734864,0.9942844717795792,0.9982015794823677,0.9885689435591588,1.0,1.0,0.9846153855323792,True,*,7
3,39,3,maxblur-7,3,8,0.3957459559179332,0.91780823469162,0.9998577322520984,0.9926930761810168,1.0,0.9913662434670838,0.9997154645041968,0.996163696050644,True,*,7
4,42,3,maxblur-7,4,1,0.8924874442897431,0.9383561611175536,0.910139044947898,0.9440067250827918,0.9405030471428862,0.9446429428161252,0.8797750427529101,0.9293630520502726,True,*,7
0,2,1,max,0,1,1.2672235321354222,0.8310810923576355,0.7497795414462082,0.6775210116771363,0.7872947158661445,0.6573069280413089,0.7122643670262718,0.8164251248041788,False,$M$,0
1,14,1,max,1,3,1.2588571248116431,0.7727272510528564,0.8153425410568269,0.8160239515236448,0.7329210472067615,0.831964406315886,0.8977640349068922,0.40813717742760974,False,$M$,0
2,24,1,max,2,3,0.4525231997172038,0.8933333158493042,0.8004563386168082,0.652468563182849,0.9809049398090492,0.5911492396695174,0.6200077374245672,0.786126971244812,False,$M$,0
3,32,1,max,3,1,0.1002526389409418,0.952054798603058,0.9009148687217098,0.8516430316059258,0.9636781729337062,0.8312990545361756,0.8381515645097134,0.8758510053157806,False,$M$,0
4,42,1,max,4,1,0.4908120093280322,0.8561643958091736,0.7552588256813608,0.620651251449025,0.8552295011047525,0.5780552010000312,0.6552881502579693,0.7610918084780375,False,$M$,0
0,1,1,avg,0,0,1.1183554191847105,0.8108108043670654,0.7624315719553816,0.6935084525334448,0.8121406811883003,0.6716631316558244,0.7127224627224628,0.7357361515363058,False,$A$,-1
1,16,1,avg,1,5,1.3935985170401537,0.649350643157959,0.7099567099567099,0.6146956116300076,0.7208603037174466,0.5943315402577368,0.6990531161959733,0.4274017934997876,False,$A$,-1
2,27,1,avg,2,6,0.16552445491154988,0.946666657924652,0.9023644326971136,0.8771573937830095,0.9687453229527594,0.8600578571349488,0.8359835424414681,0.7293543815612793,False,$A$,-1
3,34,1,avg,3,3,0.2185723985711189,0.8972602486610413,0.8621367454365442,0.7282615000611291,0.9966900972937188,0.679518711305339,0.7275833935793694,0.895140677690506,False,$A$,-1
4,42,1,avg,4,1,0.817549028625227,0.7123287916183472,0.7613095601023168,0.8174946746375317,0.6479308752950604,0.848285032062891,0.8746882449095731,0.5292884012063345,False,$A$,-1
0,4,1,maxblur-3,0,3,1.0578940623515358,0.8175675868988037,0.7949878604640509,0.7147808138243188,0.8175175794223413,0.6958625347372149,0.7724581415057606,0.774067759513855,False,^,3
1,14,1,maxblur-3,1,3,1.3490790724754331,0.7402597665786743,0.8256002198859342,0.7086641133238313,0.923661100803958,0.6674242819657508,0.7275393389679103,0.5904155323902766,False,^,3
2,27,1,maxblur-3,2,6,0.21881645053625107,0.9266666769981384,0.8597351767606171,0.8333048998073628,0.9664240955826082,0.8084514438186342,0.7530462579386259,0.9129385550816854,False,^,3
3,40,1,maxblur-3,3,9,0.10109340583216654,0.965753436088562,0.9562918637365316,0.9700458958343928,0.9442484633631512,0.9747303400938766,0.968335264109912,0.8950146138668059,False,^,3
4,48,1,maxblur-3,4,7,0.5128961858684069,0.8767123222351074,0.8089605453790565,0.6635200846703629,0.923756100818475,0.6162649513033145,0.6941649899396379,0.7616809407869974,False,^,3
0,1,1,maxblur-4,0,0,0.7188817681492986,0.8513513803482056,0.7585177168510502,0.6907114963270471,0.8285233285233286,0.6653343814469135,0.6885121051787719,0.7406460245450338,False,D,4
1,20,1,maxblur-4,1,9,1.4285923730243335,0.7792207598686218,0.8693245378959666,0.7283122899309288,0.9219899677042536,0.6911618402301632,0.8166591080876795,0.5217335472504298,False,D,4
2,26,1,maxblur-4,2,5,0.4007809261480968,0.8666666746139526,0.8596561081883978,0.8168978667747141,0.9637527073926292,0.7894799553550009,0.7555595089841666,0.5932979186375936,False,D,4
3,40,1,maxblur-4,3,9,0.16999472973689642,0.9589040875434875,0.9103103469300654,0.8584047025605467,0.970477990598715,0.8380537985945367,0.8501427032614158,0.8912322819232941,False,D,4
4,41,1,maxblur-4,4,0,0.4011605584049878,0.8767123222351074,0.8044776596084443,0.7528094800822074,0.8254113425139581,0.739626021686672,0.7835439767029305,0.6374439001083374,False,D,4
0,2,1,maxblur-5,0,1,0.9435591729911598,0.7972972989082336,0.7386077326553517,0.7195546063179509,0.8066664376188185,0.7035135529837758,0.670549027691885,0.6763600905736288,False,p,5
1,11,1,maxblur-5,1,0,0.9978641681856923,0.701298713684082,0.7742925857211571,0.6338217950725615,0.9151735037449322,0.5798540760177591,0.633411667697382,0.483263815442721,False,p,5
2,30,1,maxblur-5,2,9,0.07752633859713873,0.9800000190734864,0.9682144339678588,0.9346775282735874,0.9851068696469872,0.9252623315465844,0.9513219982887302,0.7575267155965171,False,p,5
3,38,1,maxblur-5,3,7,0.32403695787469,0.8698630332946777,0.8407181908187944,0.7018983902100785,0.9911735927832508,0.6493701564947455,0.6902627888543381,0.8209358453750609,False,p,5
